,MAE,MAE_test,R2,MAE2
KNeighborsRegressor(n_neighbors=91),26.875,36.93617021276596,0.06992404606640756,992.6595744680851
DecisionTreeRegressor(max_depth=2),26.504273504273506,40.170212765957444,0.1019697592823644,1064.6823058737953
"RandomForestRegressor(criterion='mae',max_depth=7,n_estimators=3,random_state=0)",21.732905982905983,36.93617021276596,0.16837195456228382,802.7303146026551
"LinearSVR(C=0.518,loss='squared_epsilon_insensitive',max_iter=10000.0,random_state=99)",27.021367521367523,37.361702127659576,0.049332519107204154,1009.5642844153483
"RandomForestRegressor(bootstrap=False,max_depth=8,max_features='sqrt',min_samples_leaf=12,min_samples_split=4,n_estimators=4)",21.27991452991453,31.52127659574468,0.4331883331807873,670.770071831242
"RandomForestRegressor(min_samples_leaf=5,min_samples_split=19,n_estimators=199)",20.431623931623932,34.59574468085106,0.43151035201521215,706.8472449536279
"AdaBoostRegressor(base_estimator=DecisionTreeRegressor(max_depth=3),learning_rate=0.5,n_estimators=100)",33.23504273504273,37.648936170212764,0.45951586577093684,1251.2640025459173
"GradientBoostingRegressor(n_estimators=200,random_state=0)",13.881410256410257,28.180851063829788,0.7983631367550542,391.1899549918167
